HUB,Numero_Tarefa,Nome_Tarefa,Status,Data,Ultima_Chamada
Omron,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Cuidado todos os dias,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Cuidado todos os dias,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Cuidado todos os dias,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Cuidado todos os dias,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Cuidado todos os dias,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Josapar,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Josapar,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Josapar,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Josapar,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Josapar,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Coty - Loja do Varejo,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 20:07:48,undefined
Middleware,undefined,undefined,Atrasada,18/01/2022 20:17:47,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 20:21:47,undefined
Unilever,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Unilever,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Food,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Food,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Nike,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Middleware,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Climate,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Climate,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Fabercastell,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Hersheys,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Mondelez,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Loja Perfeita,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Omron,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Cuidado todos os dias,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Josapar,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Coty - Loja do Varejo,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Hub com erro,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
