hub,taskNumber,taskName,Status,data,lastRun
Josapar,,,Hub ativo,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),undefined
Josapar,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),08/01/2022 14:11:29
Josapar,206,Alimentar PedidosBI Hora,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),04/01/2022 12:06:09
Coty - Loja do Varejo,,,Hub ativo,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),undefined
Coty - Loja do Varejo,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),06/01/2022 20:07:33
Coty - Loja do Varejo,205,Alimentar Pedido Hora,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),06/01/2022 13:15:00
Coty - Loja do Varejo,206,Alimentar PedidosBI Hora,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),06/01/2022 20:07:34
Coty - Loja do Varejo,207,Alimentar PedidosBI Dia,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),06/01/2022 13:15:04
Coty - Loja do Varejo,208,Envio automático de relatórios,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),08/01/2022 12:19:55
Coty - Loja do Varejo,188,Importar Produtos,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),08/01/2022 12:19:36
Coty - Loja do Varejo,198,Integração de Política de Preço,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),08/01/2022 07:43:09
AbasteceBem,,,Hub ativo,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),undefined
AbasteceBem,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),07/01/2022 19:52:00
AbasteceBem,205,Alimentar Pedido Hora,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),07/01/2022 13:30:08
AbasteceBem,206,Alimentar PedidosBI Hora,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),07/01/2022 19:13:17
AbasteceBem,207,Alimentar PedidosBI Dia,Parada,Sat Jan 08 2022 15:01:52 GMT-0300 (GMT-03:00),07/01/2022 13:30:09
Unilever,519,Sumarizao de Produtos,Parada,Sat Jan 08 2022 15:05:49 GMT-0300 (GMT-03:00),08/01/2022 14:25:01
Middleware,184,Integração Preço,Atrasada,Sat Jan 08 2022 17:09:48 GMT-0300 (GMT-03:00),08/01/2022 16:59:02
Middleware,184,Integração Preço,Normalizada,Sat Jan 08 2022 17:11:50 GMT-0300 (GMT-03:00),08/01/2022 16:59:02
Middleware,184,Integração Preço,Atrasada,Sat Jan 08 2022 17:21:50 GMT-0300 (GMT-03:00),08/01/2022 17:11:11
Vila Nova,207,Alimentar PedidosBI Dia,Atrasada,Sat Jan 08 2022 17:24:48 GMT-0300 (GMT-03:00),07/01/2022 17:14:43
Middleware,184,Integração Preço,Normalizada,Sat Jan 08 2022 17:25:48 GMT-0300 (GMT-03:00),08/01/2022 17:11:11
Unilever,519,Sumarizao de Produtos,Normalizada,Sat Jan 08 2022 17:32:48 GMT-0300 (GMT-03:00),08/01/2022 14:25:01
Food,184,Integração Preço,Atrasada,Sat Jan 08 2022 17:33:48 GMT-0300 (GMT-03:00),08/01/2022 17:23:06
Vila Nova,205,Alimentar Pedido Hora,Normalizada,Sat Jan 08 2022 17:33:48 GMT-0300 (GMT-03:00),07/01/2022 14:37:31
Josapar,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Sat Jan 08 2022 17:33:48 GMT-0300 (GMT-03:00),08/01/2022 14:11:29
Josapar,206,Alimentar PedidosBI Hora,Normalizada,Sat Jan 08 2022 17:33:48 GMT-0300 (GMT-03:00),04/01/2022 12:06:09
Middleware,184,Integração Preço,Atrasada,Sat Jan 08 2022 17:35:50 GMT-0300 (GMT-03:00),08/01/2022 17:25:16
Food,184,Integração Preço,Normalizada,Sat Jan 08 2022 17:36:48 GMT-0300 (GMT-03:00),08/01/2022 17:23:06
Middleware,184,Integração Preço,Normalizada,Sat Jan 08 2022 17:41:48 GMT-0300 (GMT-03:00),08/01/2022 17:25:16
Josapar,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Parada,Sat Jan 08 2022 17:45:48 GMT-0300 (GMT-03:00),08/01/2022 17:32:58
Food,184,Integração Preço,Atrasada,Sat Jan 08 2022 17:46:49 GMT-0300 (GMT-03:00),08/01/2022 17:35:59
Middleware,184,Integração Preço,Atrasada,Sat Jan 08 2022 17:52:48 GMT-0300 (GMT-03:00),08/01/2022 17:41:19
Middleware,184,Integração Preço,Normalizada,Sat Jan 08 2022 17:53:48 GMT-0300 (GMT-03:00),08/01/2022 17:41:19
Food,184,Integração Preço,Normalizada,Sat Jan 08 2022 17:59:48 GMT-0300 (GMT-03:00),08/01/2022 17:35:59
Food,184,Integração Preço,Atrasada,Sat Jan 08 2022 18:09:48 GMT-0300 (GMT-03:00),08/01/2022 17:58:55
Unilever,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Food,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Food,184,Integração Preço,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),08/01/2022 17:58:55
Nike,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Middleware,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Climate,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Climate,300,Gerar Chaves Assimétricas,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),08/01/2022 08:58:45
Fabercastell,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Hersheys,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Mondelez,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Vila Nova,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Vila Nova,207,Alimentar PedidosBI Dia,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),07/01/2022 17:14:43
Vila Nova,220,Enfileirar e Reenfileirar EMail de Filial Pendente,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),08/01/2022 14:12:09
Loja Perfeita,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Omron,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Cuidado todos os dias,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Cuidado todos os dias,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),04/01/2022 12:06:01
Cuidado todos os dias,205,Alimentar Pedido Hora,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),04/01/2022 07:50:56
Cuidado todos os dias,206,Alimentar PedidosBI Hora,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),04/01/2022 12:06:02
Cuidado todos os dias,207,Alimentar PedidosBI Dia,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),04/01/2022 07:50:58
Josapar,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Josapar,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),08/01/2022 17:32:58
Coty - Loja do Varejo,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
Coty - Loja do Varejo,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),06/01/2022 20:07:33
Coty - Loja do Varejo,205,Alimentar Pedido Hora,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),06/01/2022 13:15:00
Coty - Loja do Varejo,206,Alimentar PedidosBI Hora,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),06/01/2022 20:07:34
Coty - Loja do Varejo,207,Alimentar PedidosBI Dia,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),06/01/2022 13:15:04
Coty - Loja do Varejo,208,Envio automático de relatórios,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),08/01/2022 12:19:55
Coty - Loja do Varejo,188,Importar Produtos,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),08/01/2022 12:19:36
Coty - Loja do Varejo,198,Integração de Política de Preço,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),08/01/2022 07:43:09
AbasteceBem,,,Hub com erro,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),undefined
AbasteceBem,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),07/01/2022 19:52:00
AbasteceBem,205,Alimentar Pedido Hora,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),07/01/2022 13:30:08
AbasteceBem,206,Alimentar PedidosBI Hora,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),07/01/2022 19:13:17
AbasteceBem,207,Alimentar PedidosBI Dia,Normalizada,Sat Jan 08 2022 18:22:20 GMT-0300 (GMT-03:00),07/01/2022 13:30:09
Unilever,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Food,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Food,184,Integração Preço,Atrasada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),08/01/2022 17:58:55
Nike,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Middleware,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Climate,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Climate,300,Gerar Chaves Assimétricas,Atrasada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),08/01/2022 08:58:45
Fabercastell,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Hersheys,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Mondelez,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Vila Nova,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Vila Nova,207,Alimentar PedidosBI Dia,Atrasada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),07/01/2022 17:14:43
Vila Nova,220,Enfileirar e Reenfileirar EMail de Filial Pendente,Atrasada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),08/01/2022 14:12:09
Loja Perfeita,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Omron,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Cuidado todos os dias,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Cuidado todos os dias,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),04/01/2022 12:06:01
Cuidado todos os dias,205,Alimentar Pedido Hora,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),04/01/2022 07:50:56
Cuidado todos os dias,206,Alimentar PedidosBI Hora,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),04/01/2022 12:06:02
Cuidado todos os dias,207,Alimentar PedidosBI Dia,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),04/01/2022 07:50:58
Josapar,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Josapar,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),08/01/2022 17:32:58
Coty - Loja do Varejo,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
Coty - Loja do Varejo,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),06/01/2022 20:07:33
Coty - Loja do Varejo,205,Alimentar Pedido Hora,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),06/01/2022 13:15:00
Coty - Loja do Varejo,206,Alimentar PedidosBI Hora,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),06/01/2022 20:07:34
Coty - Loja do Varejo,207,Alimentar PedidosBI Dia,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),06/01/2022 13:15:04
Coty - Loja do Varejo,208,Envio automático de relatórios,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),08/01/2022 12:19:55
Coty - Loja do Varejo,188,Importar Produtos,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),08/01/2022 12:19:36
Coty - Loja do Varejo,198,Integração de Política de Preço,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),08/01/2022 07:43:09
AbasteceBem,,,Hub ativo,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),undefined
AbasteceBem,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),07/01/2022 19:52:00
AbasteceBem,205,Alimentar Pedido Hora,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),07/01/2022 13:30:08
AbasteceBem,206,Alimentar PedidosBI Hora,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),07/01/2022 19:13:17
AbasteceBem,207,Alimentar PedidosBI Dia,Parada,Sat Jan 08 2022 18:24:48 GMT-0300 (GMT-03:00),07/01/2022 13:30:09
Josapar,206,Alimentar PedidosBI Hora,Parada,Sat Jan 08 2022 18:43:48 GMT-0300 (GMT-03:00),08/01/2022 17:32:59
